V1.83,SPxLang.ConditionType25,AIS HAZARDOUS CARGO,AIS危险货物
V1.85,SPxLang.ConditionType26,TRACK COMMS CAPABILITY,航迹通讯能力
V1.85,SPxLang.ConditionType27,TRACK FLIGHT STATUS,航迹飞行状态
V1.85.10,SPxLang.ConditionType28,PROXIMITY TO POINT,接近某点
V1.85.10,SPxLang.ConditionType29,PROXIMITY TO REF POINT,接近参考点
V1.85.10,SPxLang.ConditionType30,PROXIMITY TO ANY AIS,接近任何AIS目标
V1.85.10,SPxLang.ConditionType31,PROXIMITY TO ANY ADS-B,接近任何ADS-B目标
V1.85.10,SPxLang.ConditionType32,PROXIMITY TO LAND,靠近陆地
V1.85.10,SPxLang.ConditionType33,APPROACH LAND,接近陆地
V1.85.10,SPxLang.ConditionType34,TIMESTAMP,时戳
V1.81.10,SPxLang.ConditionArg1,True,是
V1.81.10,SPxLang.ConditionArg2,False,非
V1.81,SPxLang.CovMapBBeamAngle,Bottom beam angle,底部波束角
V1.81,SPxLang.CovMapCurvature,Curvature of the Earth,地球表面曲率
V1.81,SPxLang.CovMapEndRange,End range,范围
V1.81,SPxLang.CovMapHeightAbove,above,高于
V1.81,SPxLang.CovMapHeightGround,Ground,地面
V1.81,SPxLang.CovMapHeightSea,Sea Level,海平面
V1.81,SPxLang.CovMapTargetHeights1,Target,目标
V1.81,SPxLang.CovMapTargetHeights2,heights,高度
V1.81,SPxLang.CovMapTBeamAngle,Top beam angle,顶部波束角
V1.81,SPxLang.CovMapTransparency,Coverage transparency:,覆盖透明度:
V1.81,SPxLang.ENCGroup1Desc,Base display
V1.81,SPxLang.ENCGroup1Name,Base display
V1.81,SPxLang.ENCGroup2Desc,Information about the chart display
V1.81,SPxLang.ENCGroup2Name,Information
V1.81,SPxLang.ENCGroup3Desc,Cursor [symbol SY(CURSRA01)]
V1.81,SPxLang.ENCGroup3Name,Cursor
V1.81,SPxLang.ENCGroup4Desc,"Scalebar, latitude scale [SY(SCALEB10),SY( SCALEB11)]"
